"manyID","treatyID","stateID","Title","Begin","End","Signature","Force","stateSignature","stateRat","stateForce","stateForce2","stateForce3","Term","stateWithdrawal","stateWithdrawal2","gengID","ecolexID","ieaID","Comments","Deposit","obsolete","ProvisionalApp","Reservation","verified","Notes","stateForce_ecolex","stateForce_iea","Consent","Acceptance","Accession","Changes_HUGGO","Verified_HUGGO","Checked_HUGGO","Succession"
"PW05MW_1925P","PW05MW_1925P","IND","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08","1925-06-17","1930-04-09","1930-04-09",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1930-04-09","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","ITA","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08","1925-06-17","1928-04-03","1928-04-03",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1928-04-03","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","JPN","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08","1925-06-17","1970-05-21","1970-05-21",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1970-05-21","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","LTU","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08","1925-06-17","1933-06-15","1933-06-15",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1933-06-15","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","LUX","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08","1925-06-17","1936-09-01","1936-09-01",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1936-09-01","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","LVA","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08","1925-06-17","1931-06-03","1931-06-03",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1931-06-03","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","NIC","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08","1925-06-17","1990-10-05","1990-10-05",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1990-10-05","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","NLD","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08","1925-06-17","1930-10-31","1930-10-31",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1930-10-31","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","NOR","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08","1925-06-17","1932-07-27","1932-07-27",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1932-07-27","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
"PW05MW_1925P","PW05MW_1925P","POL","Protocol For The Prohibition Of The Use In War Of Asphyxiating Poisonous Or Other Gases And Of Bacteriological Methods Of Warfare","1925-06-17","1992-12-28","1925-06-17","1928-02-08","1925-06-17","1929-02-04","1929-02-04",NA,NA,NA,"9999-12-31",NA,"GENG-0240",NA,"IEA-2603",NA,"1929-02-04","FALSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stateRat, Accession, stateWithdrawal","stateSignature, stateRat, stateForce, Accession, Succession, Acceptance, stateWithdrawal",1,NA
